sheet,address,formula,functions,referenced_sheets
Aug Revenue,J56,='Daily Census IP 2012'!AH26,,Daily Census IP 2012
Aug Revenue,M56,=SUM(M5:M49),SUM,
Aug Revenue,O56,=SUM(O5:O49),SUM,
Aug Revenue,Q56,=SUM(Q5:Q49),SUM,
Aug Revenue,S56,=SUM(S5:S49),SUM,
Aug Revenue,U56,=SUM(U5:U49),SUM,
Aug Revenue,W56,=SUM(W5:W33),SUM,
Aug Revenue,Z56,=SUM(M56:W56),SUM,
Aug Revenue,AA56,=J56,,
Aug Revenue,A57,='Daily Census IP 2012'!AH27,,Daily Census IP 2012
Aug Revenue,C57,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Aug Revenue,J57,"=SUM(E56)/COUNTIF(E5:E40,"">0"")",COUNTIF;SUM,
Aug Revenue,M57,=SUM(M56*C57),SUM,
Aug Revenue,O57,=SUM(O56*D58),SUM,
Aug Revenue,Q57,=SUM(Q56*D59),SUM,
Aug Revenue,S57,=SUM(Q56*D60),SUM,
Aug Revenue,U57,=SUM(U56*D58),SUM,
Aug Revenue,W57,=SUM(W56*D64),SUM,
Aug Revenue,X57,=SUM(X56*D61),SUM,
Aug Revenue,Y57,=SUM(Y56*E62),SUM,
Aug Revenue,Z57,"=COUNTIF(E5:E33, "">0"")",COUNTIF,
Aug Revenue,D58,=C57,,
Aug Revenue,D59,=SUM(D58-E59),SUM,
Aug Revenue,D60,=SUM(D58-E60),SUM,
Budget vs Actual,G3,='Daily Census IP 2012'!A2,,Daily Census IP 2012
Budget vs Actual,E4,='2012 YTD Summary'!B12,,2012 YTD Summary
Budget vs Actual,F4,=SUM(E4-C4),SUM,
Budget vs Actual,E5,='2012 YTD Summary'!C12,,2012 YTD Summary
Budget vs Actual,E6,='2012 YTD Summary'!D12,,2012 YTD Summary
Budget vs Actual,E7,='2012 YTD Summary'!E12,,2012 YTD Summary
Budget vs Actual,E8,='2012 YTD Summary'!F12,,2012 YTD Summary
Budget vs Actual,E9,='2012 YTD Summary'!G12,,2012 YTD Summary
Budget vs Actual,E10,='2012 YTD Summary'!H12,,2012 YTD Summary
Budget vs Actual,E11,='2012 YTD Summary'!I12,,2012 YTD Summary
Budget vs Actual,E12,='2012 YTD Summary'!J12,,2012 YTD Summary
Budget vs Actual,E13,='2012 YTD Summary'!K12,,2012 YTD Summary
Budget vs Actual,E14,='2012 YTD Summary'!L12,,2012 YTD Summary
Budget vs Actual,E15,='2012 YTD Summary'!M12,,2012 YTD Summary
