sheet,address,formula,functions,referenced_sheets
Feb Revenue,J57,"=SUM(E56)/COUNTIF(E5:E40,"">0"")",COUNTIF;SUM,
Feb Revenue,M57,=SUM(M56*C57),SUM,
Feb Revenue,O57,=SUM(O56*D58),SUM,
Feb Revenue,Q57,=SUM(Q56*D59),SUM,
Feb Revenue,S57,=SUM(Q56*D60),SUM,
Feb Revenue,U57,=SUM(U56*D58),SUM,
Feb Revenue,W57,=SUM(W56*D63),SUM,
Feb Revenue,X57,"=COUNTIF(E5:E33, "">0"")",COUNTIF,
Feb Revenue,D58,=C57,,
Feb Revenue,D59,=SUM(D58-E59),SUM,
Feb Revenue,D60,=SUM(D58-E60),SUM,
Feb Revenue,D62,=C57,,
Mar Revenue,AA3,='Staffing July'!O18,,Staffing July
Mar Revenue,AA4,='Staffing March'!K1,,Staffing March
Mar Revenue,E5,=D5-C5,,
Mar Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
Mar Revenue,G5,=H5-I5+J5,,
Mar Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
Mar Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
Mar Revenue,AF25,=AB29,,
Mar Revenue,AB27,"=COUNTIF(Z5:Z33, ""S"")",COUNTIF,
Mar Revenue,AC27,=SUM(AB27/AB29),SUM,
Mar Revenue,AD27,"=AVERAGEIFS(E$5:$E32,E$5:$E32,"">0"",Z$5:$Z32,""S"")",AVERAGEIFS,
Mar Revenue,AB29,=SUM(AB27:AB28),SUM,
Mar Revenue,AC29,=SUM(AC27+AC28),SUM,
Mar Revenue,AD29,=J56,,
Mar Revenue,AB31,=J55,,
Mar Revenue,AB35,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""S"")",SUMIFS,
Mar Revenue,AC35,=AB35,,
Mar Revenue,AE35,=SUM(AB35/AB37),SUM,
Mar Revenue,AF35,=AD27,,
Mar Revenue,AB37,=SUM(AB35+AB36),SUM,
Mar Revenue,AE37,=SUM(AE35+AE36),SUM,
Mar Revenue,AF37,=AD29,,
Mar Revenue,AB41,"=COUNTIF(X5:X33, ""mcr"")",COUNTIF,
Mar Revenue,AC41,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=mcr"")",SUMIFS,
Mar Revenue,AD41,=AC41,,
Mar Revenue,AF41,=SUM(AB41/AB$53),SUM,
Mar Revenue,AG41,=SUM(AC41/AB41),SUM,
Mar Revenue,AB42,"=COUNTIF(X5:X32, ""mcd"")",COUNTIF,
Mar Revenue,AC42,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=mcd"")",SUMIFS,
Mar Revenue,AB43,"=COUNTIF(X5:X32, ""BCBS"")",COUNTIF,
Mar Revenue,AC43,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=bcbs"")",SUMIFS,
Mar Revenue,AB44,"=COUNTIF(X5:X32, ""INS"")",COUNTIF,
Mar Revenue,AC44,"=SUMIFS(E$5:$F32,E$5:$F32,"">0"",X$5:$Y32,""INS"")",SUMIFS,
Mar Revenue,AB45,"=COUNTIF(X5:X32, ""humana"")",COUNTIF,
Mar Revenue,AC45,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",$X$5:X32,""=humana"")",SUMIFS,
Mar Revenue,AB46,"=COUNTIF(X5:X32, ""value op"")",COUNTIF,
Mar Revenue,AC46,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=Value OP"")",SUMIFS,
Mar Revenue,AB47,"=COUNTIF(X5:X32, ""UBH"")",COUNTIF,
Mar Revenue,AC47,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=ubh"")",SUMIFS,
Mar Revenue,AB48,"=COUNTIF(X5:X32, ""vantage"")",COUNTIF,
Mar Revenue,AC48,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=vantage"")",SUMIFS,
Mar Revenue,AB49,"=COUNTIF(X5:X32, ""priv"")",COUNTIF,
Mar Revenue,AC49,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=priv"")",SUMIFS,
Mar Revenue,F50,=SUM(F5:F46),SUM,
Mar Revenue,AB50,"=COUNTIF(X5:X32, ""highmark"")",COUNTIF,
Mar Revenue,AC50,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=highmark"")",SUMIFS,
Mar Revenue,B51,=AVERAGE(B5:B46),AVERAGE,
Mar Revenue,AB51,"=COUNTIF(X5:X32, ""sterling"")",COUNTIF,
Mar Revenue,AC51,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32,""=sterling"")",SUMIFS,
Mar Revenue,E52,=SUM(E5:E39),SUM,
Mar Revenue,AB52,"=COUNTIF(X5:X32, ""ind"")",COUNTIF,
Mar Revenue,AC52,"=SUMIFS(E$5:$E32,E$5:$E32,"">0"",X$5:$X32, ""=Ind"")",SUMIFS,
Mar Revenue,A53,=SUM(O56+Q56+S56)+U56+W56,SUM,
Mar Revenue,AB53,=SUM(AB41:AB52),SUM,
Mar Revenue,E55,"=SUMIF(E5:E39,"">0"")",SUMIF,
Mar Revenue,J55,='Daily Census IP 2012'!AH11,,Daily Census IP 2012
Mar Revenue,M55,=SUM(M5:M48),SUM,
Mar Revenue,O55,=SUM(O5:O48),SUM,
Mar Revenue,Q55,=SUM(Q5:Q48),SUM,
Mar Revenue,S55,=SUM(S5:S48),SUM,
Mar Revenue,U55,=SUM(U5:U48),SUM,
Mar Revenue,W55,=SUM(W5:W32),SUM,
Mar Revenue,X55,=SUM(M55:W55),SUM,
Mar Revenue,Y55,=SUM(X55-M55),SUM,
Mar Revenue,A56,='Daily Census IP 2012'!AH12,,Daily Census IP 2012
Mar Revenue,C56,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Mar Revenue,J56,"=SUM(E55)/COUNTIF(E5:E39,"">0"")",COUNTIF;SUM,
Mar Revenue,M56,=SUM(M55*C56),SUM,
Mar Revenue,O56,=SUM(O55*D57),SUM,
Mar Revenue,Q56,=SUM(Q55*D58),SUM,
Mar Revenue,S56,=SUM(Q55*D59),SUM,
Mar Revenue,U56,=SUM(U55*D57),SUM,
Mar Revenue,W56,=SUM(W55*D62),SUM,
Mar Revenue,X56,"=COUNTIF(E5:E33, "">0"")",COUNTIF,
Mar Revenue,D57,=C56,,
Mar Revenue,D58,=SUM(D57-E58),SUM,
Mar Revenue,D59,=SUM(D57-E59),SUM,
Mar Revenue,D61,=C56,,
Apr Revenue,AA3,='Staffing July'!O18,,Staffing July
Apr Revenue,AA4,='Staffing April'!K1,,Staffing April
Apr Revenue,E5,=D5-C5,,
Apr Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
Apr Revenue,G5,=H5-I5+J5,,
Apr Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
Apr Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
Apr Revenue,AF26,=AB30,,
Apr Revenue,AB28,"=COUNTIF(Z5:Z33, ""S"")",COUNTIF,
Apr Revenue,AC28,=SUM(AB28/AB30),SUM,
Apr Revenue,AD28,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""S"")",AVERAGEIFS,
Apr Revenue,AB29,"=COUNTIF(Z5:Z33, ""U"")",COUNTIF,
Apr Revenue,AC29,=SUM(AB29/AB30),SUM,
Apr Revenue,AD29,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""M"")",AVERAGEIFS,
Apr Revenue,AB30,=SUM(AB28:AB29),SUM,
Apr Revenue,AC30,=SUM(AC28+AC29),SUM,
Apr Revenue,AD30,=J57,,
Apr Revenue,AB32,=J56,,
Apr Revenue,AB36,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""S"")",SUMIFS,
Apr Revenue,AC36,=AB36,,
Apr Revenue,AE36,=SUM(AB36/AB38),SUM,
Apr Revenue,AF36,=AD28,,
Apr Revenue,AB37,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""M"")",SUMIFS,
Apr Revenue,AE37,=SUM(AB37/AB38),SUM,
Apr Revenue,AB38,=SUM(AB36+AB37),SUM,
Apr Revenue,AE38,=SUM(AE36+AE37),SUM,
Apr Revenue,AB42,"=COUNTIF(X5:X33, ""mcr"")",COUNTIF,
Apr Revenue,AC42,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=mcr"")",SUMIFS,
Apr Revenue,AD42,=AC42,,
Apr Revenue,AF42,=SUM(AB42/AB$54),SUM,
Apr Revenue,AG42,=SUM(AC42/AB42),SUM,
Apr Revenue,AB43,"=COUNTIF(X5:X33, ""mcd"")",COUNTIF,
Apr Revenue,AC43,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=mcd"")",SUMIFS,
Apr Revenue,AB44,"=COUNTIF(X5:X33, ""BCBS"")",COUNTIF,
Apr Revenue,AC44,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=bcbs"")",SUMIFS,
Apr Revenue,AB45,"=COUNTIF(X5:X33, ""cigna"")",COUNTIF,
Apr Revenue,AC45,"=SUMIFS(E$5:$F33,E$5:$F33,"">0"",X$5:$Y33,""=Cigna"")",SUMIFS,
Apr Revenue,AB46,"=COUNTIF(X5:X33, ""humana"")",COUNTIF,
Apr Revenue,AC46,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",$X$5:X33,""=humana"")",SUMIFS,
Apr Revenue,AB47,"=COUNTIF(X5:X33, ""value op"")",COUNTIF,
Apr Revenue,AC47,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=Value OP"")",SUMIFS,
Apr Revenue,AB48,"=COUNTIF(X5:X33, ""UBH"")",COUNTIF,
Apr Revenue,AC48,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=ubh"")",SUMIFS,
Apr Revenue,AB49,"=COUNTIF(X5:X33, ""vantage"")",COUNTIF,
Apr Revenue,AC49,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=vantage"")",SUMIFS,
Apr Revenue,F50,=SUM(F5:F49),SUM,
Apr Revenue,AB50,"=COUNTIF(X5:X33, ""priv"")",COUNTIF,
Apr Revenue,AC50,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=priv"")",SUMIFS,
Apr Revenue,AB51,"=COUNTIF(X5:X33, ""highmark"")",COUNTIF,
Apr Revenue,AC51,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=highmark"")",SUMIFS,
Apr Revenue,B52,=AVERAGE(B5:B42),AVERAGE,
Apr Revenue,AB52,"=COUNTIF(X5:X33, ""sterling"")",COUNTIF,
Apr Revenue,AC52,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33,""=sterling"")",SUMIFS,
Apr Revenue,E53,=SUM(E5:E40),SUM,
Apr Revenue,AB53,"=COUNTIF(X5:X33, ""ind"")",COUNTIF,
Apr Revenue,AC53,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",X$5:$X33, ""=Ind"")",SUMIFS,
Apr Revenue,A54,=SUM(O57+Q57+S57)+U57+W57,SUM,
Apr Revenue,AB54,=SUM(AB42:AB53),SUM,
Apr Revenue,E56,"=SUMIF(E5:E40,"">0"")",SUMIF,
Apr Revenue,J56,='Daily Census IP 2012'!AH14,,Daily Census IP 2012
Apr Revenue,M56,=SUM(M5:M49),SUM,
Apr Revenue,O56,=SUM(O5:O49),SUM,
Apr Revenue,Q56,=SUM(Q5:Q49),SUM,
Apr Revenue,S56,=SUM(S5:S49),SUM,
Apr Revenue,U56,=SUM(U5:U49),SUM,
Apr Revenue,W56,=SUM(W5:W33),SUM,
Apr Revenue,X56,=SUM(M56:W56),SUM,
Apr Revenue,A57,='Daily Census IP 2012'!AH15,,Daily Census IP 2012
Apr Revenue,C57,='Daily Census IP 2012'!A46,,Daily Census IP 2012
Apr Revenue,J57,"=SUM(E56)/COUNTIF(E5:E40,"">0"")",COUNTIF;SUM,
Apr Revenue,M57,=SUM(M56*C57),SUM,
Apr Revenue,O57,=SUM(O56*D58),SUM,
Apr Revenue,Q57,=SUM(Q56*D59),SUM,
Apr Revenue,S57,=SUM(Q56*D60),SUM,
Apr Revenue,U57,=SUM(U56*D58),SUM,
Apr Revenue,W57,=SUM(W56*D63),SUM,
Apr Revenue,X57,"=COUNTIF(E5:E33, "">0"")",COUNTIF,
Apr Revenue,D58,=C57,,
Apr Revenue,D59,=SUM(D58-E59),SUM,
Apr Revenue,D60,=SUM(D58-E60),SUM,
Apr Revenue,D62,=C57,,
May Revenue,AA3,='Staffing July'!O18,,Staffing July
May Revenue,AA4,='Staffing May'!K1,,Staffing May
May Revenue,E5,=D5-C5,,
May Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
May Revenue,G5,=H5-I5+J5,,
May Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
May Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
May Revenue,AF26,=AB30,,
May Revenue,AB28,"=COUNTIF(Z5:Z36, ""S"")",COUNTIF,
May Revenue,AC28,=SUM(AB28/AB30),SUM,
May Revenue,AD28,"=AVERAGEIFS(E$5:$E36,E$5:$E36,"">0"",Z$5:$Z36,""S"")",AVERAGEIFS,
May Revenue,AB29,"=COUNTIF(Z5:Z36, ""M"")",COUNTIF,
May Revenue,AC29,=SUM(AB29/AB30),SUM,
May Revenue,AD29,"=AVERAGEIFS(E$5:$E34,E$5:$E34,"">0"",Z$5:$Z34,""M"")",AVERAGEIFS,
May Revenue,AB30,=SUM(AB28:AB29),SUM,
May Revenue,AC30,=SUM(AC28+AC29),SUM,
May Revenue,AD30,=J58,,
May Revenue,AB32,=J57,,
May Revenue,AB36,"=SUMIFS(E$5:$E36,E$5:$E36,"">0"",Z$5:$Z36,""S"")",SUMIFS,
May Revenue,AC36,=AB36,,
May Revenue,AE36,=SUM(AB36/AB38),SUM,
May Revenue,AF36,=AD28,,
May Revenue,AB37,"=SUMIFS(E$5:$E36,E$5:$E36,"">0"",Z$5:$Z36,""M"")",SUMIFS,
May Revenue,AE37,=SUM(AB37/AB38),SUM,
May Revenue,AB38,=SUM(AB36+AB37),SUM,
May Revenue,AE38,=SUM(AE36+AE37),SUM,
May Revenue,AB42,"=COUNTIF(X5:X36, ""mcr"")",COUNTIF,
May Revenue,AC42,"=SUMIFS(E$5:$E36,E$5:$E36,"">0"",X$5:$X36,""=mcr"")",SUMIFS,
May Revenue,AD42,=AC42,,
May Revenue,AF42,=SUM(AB42/AB$54),SUM,
May Revenue,AG42,=SUM(AC42/AB42),SUM,
May Revenue,AB43,"=COUNTIF(X5:X34, ""mcd"")",COUNTIF,
May Revenue,AC43,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=mcd"")",SUMIFS,
May Revenue,AB44,"=COUNTIF(X5:X34, ""BCBS"")",COUNTIF,
May Revenue,AC44,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=bcbs"")",SUMIFS,
May Revenue,AB45,"=COUNTIF(X5:X34, ""cigna"")",COUNTIF,
May Revenue,AC45,"=SUMIFS(E$5:$F34,E$5:$F34,"">0"",X$5:$Y34,""=Cigna"")",SUMIFS,
May Revenue,AB46,"=COUNTIF(X5:X34, ""humana"")",COUNTIF,
May Revenue,AC46,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",$X$5:X34,""=humana"")",SUMIFS,
May Revenue,AB47,"=COUNTIF(X5:X34, ""value op"")",COUNTIF,
May Revenue,AC47,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=Value OP"")",SUMIFS,
May Revenue,AB48,"=COUNTIF(X5:X34, ""UBH"")",COUNTIF,
May Revenue,AC48,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=ubh"")",SUMIFS,
May Revenue,AB49,"=COUNTIF(X5:X34, ""INS"")",COUNTIF,
May Revenue,AC49,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""INS"")",SUMIFS,
May Revenue,AB50,"=COUNTIF(X5:X34, ""priv"")",COUNTIF,
May Revenue,AC50,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=priv"")",SUMIFS,
May Revenue,F51,=SUM(F5:F49),SUM,
May Revenue,AB51,"=COUNTIF(X5:X34, ""highmark"")",COUNTIF,
May Revenue,AC51,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""=highmark"")",SUMIFS,
May Revenue,AB52,"=COUNTIF(X5:X34, ""PP"")",COUNTIF,
May Revenue,AC52,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34,""PP"")",SUMIFS,
May Revenue,B53,=AVERAGE(B5:B47),AVERAGE,
May Revenue,AB53,"=COUNTIF(X5:X34, ""ind"")",COUNTIF,
May Revenue,AC53,"=SUMIFS(E$5:$E34,E$5:$E34,"">0"",X$5:$X34, ""=Ind"")",SUMIFS,
May Revenue,E54,=SUM(E5:E41),SUM,
May Revenue,AB54,=SUM(AB42:AB53),SUM,
May Revenue,AG54,=J58,,
May Revenue,A55,=SUM(O58+Q58+S58)+U58+W58,SUM,
May Revenue,E57,"=SUMIF(E5:E41,"">0"")",SUMIF,
May Revenue,J57,='Daily Census IP 2012'!AH17,,Daily Census IP 2012
May Revenue,M57,=SUM(M5:M50),SUM,
May Revenue,O57,=SUM(O5:O50),SUM,
May Revenue,Q57,=SUM(Q5:Q50),SUM,
May Revenue,S57,=SUM(S5:S50),SUM,
May Revenue,U57,=SUM(U5:U50),SUM,
May Revenue,W57,=SUM(W5:W34),SUM,
May Revenue,X57,=SUM(M57:W57),SUM,
May Revenue,A58,='Daily Census IP 2012'!AH18,,Daily Census IP 2012
May Revenue,C58,='Daily Census IP 2012'!A46,,Daily Census IP 2012
May Revenue,J58,"=SUM(E57)/COUNTIF(E5:E41,"">0"")",COUNTIF;SUM,
May Revenue,M58,=SUM(M57*C58),SUM,
May Revenue,O58,=SUM(O57*D59),SUM,
May Revenue,Q58,=SUM(Q57*D60),SUM,
May Revenue,S58,=SUM(Q57*D61),SUM,
May Revenue,U58,=SUM(U57*D59),SUM,
May Revenue,W58,=SUM(W57*D64),SUM,
May Revenue,X58,"=COUNTIF(E5:E36, "">0"")",COUNTIF,
May Revenue,D59,=C58,,
May Revenue,D60,=SUM(D59-E60),SUM,
May Revenue,D61,=SUM(D59-E61),SUM,
May Revenue,D63,=C58,,
June Revenue,AC3,='Staffing July'!O18,,Staffing July
June Revenue,AC4,='Staffing June'!K1,,Staffing June
June Revenue,E5,=D5-C5,,
June Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
June Revenue,G5,=H5-I5+J5,,
June Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
June Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
June Revenue,AH26,=AD30,,
June Revenue,AD28,"=COUNTIF(AB5:AB33, ""S"")",COUNTIF,
June Revenue,AE28,=SUM(AD28/AD30),SUM,
June Revenue,AF28,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",AVERAGEIFS,
June Revenue,AD29,"=COUNTIF(AB5:AB33, ""M"")",COUNTIF,
June Revenue,AE29,=SUM(AD29/AD30),SUM,
June Revenue,AF29,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",AVERAGEIFS,
June Revenue,AD30,=SUM(AD28:AD29),SUM,
June Revenue,AE30,=SUM(AE28+AE29),SUM,
June Revenue,AF30,=J57,,
June Revenue,AD32,=J56,,
June Revenue,AD36,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",SUMIFS,
June Revenue,AE36,=SUM(AD36-AF36),SUM,
June Revenue,AG36,=SUM(AD36/AD38),SUM,
June Revenue,AH36,=AF28,,
June Revenue,AD37,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",SUMIFS,
June Revenue,AG37,=SUM(AD37/AD38),SUM,
June Revenue,AD38,=SUM(AD36+AD37),SUM,
June Revenue,AD42,"=COUNTIF(Z5:Z33, ""mcr"")",COUNTIF,
June Revenue,AE42,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcr"")",SUMIFS,
June Revenue,AF42,=SUM(AE42-AG42),SUM,
June Revenue,AH42,=SUM(AD42/AD$54),SUM,
June Revenue,AI42,=SUM(AE42/AD42),SUM,
June Revenue,AD43,"=COUNTIF(Z5:Z33, ""mcd"")",COUNTIF,
June Revenue,AE43,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcd"")",SUMIFS,
June Revenue,AD44,"=COUNTIF(Z5:Z33, ""BCBS"")",COUNTIF,
June Revenue,AE44,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=bcbs"")",SUMIFS,
June Revenue,AD45,"=COUNTIF(Z5:Z33, ""INS"")",COUNTIF,
June Revenue,AE45,"=SUMIFS(E$5:$F33,E$5:$F33,"">0"",Z$5:$AA33,""INS"")",SUMIFS,
June Revenue,AD46,"=COUNTIF(Z5:Z33, ""humana"")",COUNTIF,
June Revenue,AE46,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",$Z$5:Z33,""=humana"")",SUMIFS,
June Revenue,AD47,"=COUNTIF(Z5:Z33, ""value op"")",COUNTIF,
June Revenue,AE47,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=Value OP"")",SUMIFS,
June Revenue,AD48,"=COUNTIF(Z5:Z33, ""UBH"")",COUNTIF,
June Revenue,AE48,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=ubh"")",SUMIFS,
June Revenue,AD49,"=COUNTIF(Z5:Z33, ""vantage"")",COUNTIF,
June Revenue,AE49,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=vantage"")",SUMIFS,
June Revenue,F50,=SUM(F5:F48),SUM,
June Revenue,AD50,"=COUNTIF(Z5:Z33, ""Commercial"")",COUNTIF,
June Revenue,AE50,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""Commercial"")",SUMIFS,
June Revenue,AD51,"=COUNTIF(Z5:Z33, ""highmark"")",COUNTIF,
June Revenue,AE51,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=highmark"")",SUMIFS,
June Revenue,B52,=AVERAGE(B5:B37),AVERAGE,
June Revenue,AD52,"=COUNTIF(Z5:Z33, ""sterling"")",COUNTIF,
June Revenue,AE52,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=sterling"")",SUMIFS,
June Revenue,E53,=SUM(E5:E40),SUM,
June Revenue,AD53,"=COUNTIF(Z5:Z33, ""ind"")",COUNTIF,
June Revenue,AE53,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33, ""=Ind"")",SUMIFS,
June Revenue,A54,=SUM(O57+Q57+S57)+U57+Y57,SUM,
June Revenue,AD54,=SUM(AD42:AD53),SUM,
June Revenue,E56,"=SUMIF(E5:E40,"">0"")",SUMIF,
June Revenue,J56,='Daily Census IP 2012'!AH20,,Daily Census IP 2012
June Revenue,M56,=SUM(M5:M49),SUM,
June Revenue,O56,=SUM(O5:O49),SUM,
June Revenue,Q56,=SUM(Q5:Q49),SUM,
June Revenue,S56,=SUM(S5:S49),SUM,
June Revenue,U56,=SUM(U5:U49),SUM,
June Revenue,W56,=SUM(W5:W35),SUM,
June Revenue,Y56,=SUM(Y5:Y33),SUM,
June Revenue,Z56,=SUM(M56:Y56),SUM,
June Revenue,AA56,=J56,,
June Revenue,A57,='Daily Census IP 2012'!AH21,,Daily Census IP 2012
June Revenue,C57,='Daily Census IP 2012'!A46,,Daily Census IP 2012
June Revenue,J57,"=SUM(E56)/COUNTIF(E5:E40,"">0"")",COUNTIF;SUM,
June Revenue,M57,=SUM(M56*C57),SUM,
June Revenue,O57,=SUM(O56*D58),SUM,
June Revenue,Q57,=SUM(Q56*D59),SUM,
June Revenue,S57,=SUM(Q56*D60),SUM,
June Revenue,U57,=SUM(U56*D58),SUM,
June Revenue,W57,=SUM(W56*D62),SUM,
June Revenue,X57,=SUM(X56*D61),SUM,
June Revenue,Y57,=SUM(Y56*D64),SUM,
June Revenue,Z57,"=COUNTIF(E5:E33, "">0"")",COUNTIF,
June Revenue,D58,=C57,,
June Revenue,D59,=SUM(D58-E59),SUM,
June Revenue,D60,=SUM(D58-E60),SUM,
June Revenue,D63,=C57,,
July Revenue,AC3,='Staffing July'!O18,,Staffing July
July Revenue,AC4,='Staffing July'!K1,,Staffing July
July Revenue,E5,=D5-C5,,
July Revenue,F5,"=SUMIF(G5,"">0"")-M5",SUMIF,
July Revenue,G5,=H5-I5+J5,,
July Revenue,H5,"=IF(D5>$E$2,$E$2-C5,IF(D5<=$E$2,D5-C5))",IF,
July Revenue,I5,"=IF(C5<$E$1,$D$2-C5,0)",IF,
July Revenue,AH26,=AD30,,
July Revenue,AD28,"=COUNTIF(AB5:AB33, ""S"")",COUNTIF,
July Revenue,AE28,=SUM(AD28/AD30),SUM,
July Revenue,AF28,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",AVERAGEIFS,
July Revenue,AD29,"=COUNTIF(AB5:AB33, ""M"")",COUNTIF,
July Revenue,AE29,=SUM(AD29/AD30),SUM,
July Revenue,AF29,"=AVERAGEIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",AVERAGEIFS,
July Revenue,AD30,=SUM(AD28:AD29),SUM,
July Revenue,AE30,=SUM(AE28+AE29),SUM,
July Revenue,AF30,=J57,,
July Revenue,AD32,=J56,,
July Revenue,AD36,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""S"")",SUMIFS,
July Revenue,AE36,=AD36,,
July Revenue,AG36,=SUM(AD36/AD38),SUM,
July Revenue,AH36,=AF28,,
July Revenue,AD37,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",AB$5:$AB33,""M"")",SUMIFS,
July Revenue,AG37,=SUM(AD37/AD38),SUM,
July Revenue,AD38,=SUM(AD36+AD37),SUM,
July Revenue,AG38,=SUM(AG36+AG37),SUM,
July Revenue,AD42,"=COUNTIF(Z5:Z33, ""mcr"")",COUNTIF,
July Revenue,AE42,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcr"")",SUMIFS,
July Revenue,AF42,=AE42,,
July Revenue,AH42,=SUM(AD42/AD$54),SUM,
July Revenue,AI42,=SUM(AE42/AD42),SUM,
July Revenue,AD43,"=COUNTIF(Z5:Z33, ""mcd"")",COUNTIF,
July Revenue,AE43,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=mcd"")",SUMIFS,
July Revenue,AD44,"=COUNTIF(Z5:Z33, ""BCBS"")",COUNTIF,
July Revenue,AE44,"=SUMIFS(E$5:$E33,E$5:$E33,"">0"",Z$5:$Z33,""=bcbs"")",SUMIFS,
July Revenue,AD45,"=COUNTIF(Z5:Z33, ""cigna"")",COUNTIF,
